inspection_id,well_id,inspection_date,inspection_type,inspection_result,inspector_name,comments
1,7,2024-07-06 11:03:08,Pressure Test,Fail,Inspector_A,Routine check
2,8,2025-09-15 11:03:08,Pressure Test,Fail,Inspector_A,Routine check
3,10,2025-03-20 11:03:08,Valve Check,Fail,Inspector_A,Routine check
4,3,2025-03-09 11:03:08,Valve Check,Fail,Inspector_A,Routine check
5,6,2025-12-20 11:03:08,Valve Check,Pass,Inspector_A,Routine check
6,9,2025-08-28 11:03:08,Pressure Test,Pass,Inspector_A,Routine check
7,10,2026-01-22 11:03:08,Pressure Test,Pass,Inspector_A,Routine check
8,6,2024-11-06 11:03:08,Valve Check,Pass,Inspector_A,Routine check
9,8,2024-05-17 11:03:08,Valve Check,Pass,Inspector_A,Routine check
10,1,2025-02-08 11:03:08,Pressure Test,Pass,Inspector_A,Routine check
11,9,2024-05-17 11:03:08,Pressure Test,Pass,Inspector_A,Routine check
12,9,2025-11-30 11:03:08,Valve Check,Pass,Inspector_A,Routine check
13,3,2026-02-17 11:03:08,Pressure Test,Fail,Inspector_A,Routine check
14,6,2024-12-17 11:03:08,Valve Check,Pass,Inspector_A,Routine check
15,6,2025-03-15 11:03:08,Valve Check,Fail,Inspector_A,Routine check
16,9,2025-12-04 11:03:08,Pressure Test,Pass,Inspector_A,Routine check
17,7,2025-03-04 11:03:08,Valve Check,Fail,Inspector_A,Routine check
18,2,2025-05-11 11:03:08,Pressure Test,Fail,Inspector_A,Routine check
19,1,2024-10-06 11:03:08,Pressure Test,Pass,Inspector_A,Routine check
20,6,2025-10-26 11:03:08,Valve Check,Fail,Inspector_A,Routine check
21,2,2025-06-26 11:03:08,Valve Check,Pass,Inspector_A,Routine check
22,5,2025-02-07 11:03:08,Valve Check,Fail,Inspector_A,Routine check
23,7,2024-07-16 11:03:08,Pressure Test,Fail,Inspector_A,Routine check
24,9,2025-06-18 11:03:08,Pressure Test,Pass,Inspector_A,Routine check
25,4,2024-12-20 11:03:08,Valve Check,Fail,Inspector_A,Routine check
